File,N,ANSWER,TIME
result_test1.txt,10,8,0.1069688
result_test2.txt,15,8,0.20996120000000001
result_test3.txt,20,20,0.5575409
result_test4.txt,25,20,0.5392926
result_test5.txt,30,29,0.8798242000000001
result_test6.txt,35,32,1.4766356
result_test7.txt,40,20,0.9628285000000001
result_test8.txt,45,37,1.1755063000000001
result_test9.txt,50,46,3.3149847
result_test10.txt,55,33,2.8665435
result_test11.txt,60,45,0.9777318
result_test12.txt,65,65,8.312235000000001
result_test13.txt,70,68,3.7995759000000002
result_test14.txt,75,75,24.6377975
result_test15.txt,80,72,17.4986704
result_test16.txt,85,68,3.8297827000000004
result_test17.txt,90,54,3.7693349
result_test18.txt,95,95,62.549041300000006
result_test19.txt,100,91,18.7127102
result_test20.txt,150,149,168.7423187
result_test21.txt,200,200,86.8279339
result_test23.txt,300,294,486.3412688
