File,N,ANSWER,TIME
result_test1.txt,10,8,0.095
result_test2.txt,15,8,0.126
result_test3.txt,20,20,0.208
result_test4.txt,25,20,0.256
result_test5.txt,30,29,0.385
result_test6.txt,35,32,0.495
result_test7.txt,40,20,0.31
result_test8.txt,45,37,0.36
result_test9.txt,50,46,0.98
result_test10.txt,55,33,0.72
result_test11.txt,60,45,0.712
result_test12.txt,65,65,2.341
result_test13.txt,70,68,1.762
result_test14.txt,75,75,9.16
result_test15.txt,80,72,5.262
result_test16.txt,85,68,4.7
result_test17.txt,90,54,1.744
result_test18.txt,95,95,22.804
result_test19.txt,100,91,2.844
result_test20.txt,150,149,169.038
result_test21.txt,200,200,57.367
result_test22.txt,250,236,896.994
result_test23.txt,300,293,356.73
result_test24.txt,350,334,531.711
