File,N,ANSWER,TIME
result_test1.txt,10,8,0.136
result_test2.txt,15,15,0.142
result_test3.txt,20,13,0.323
result_test4.txt,25,25,0.82
result_test5.txt,30,29,0.341
result_test6.txt,35,34,0.719
result_test7.txt,40,37,1.192
result_test8.txt,45,44,6.725
result_test9.txt,50,49,19.5
result_test10.txt,55,55,8.427
result_test11.txt,60,52,0.745
result_test12.txt,65,45,1.501
result_test13.txt,70,70,69.332
result_test14.txt,75,52,3.102
result_test15.txt,80,80,150.968
result_test16.txt,85,78,12.266
result_test17.txt,90,87,82.573
result_test18.txt,95,94,139.494
result_test19.txt,100,98,126.608
result_test20.txt,120,119,535.161
result_test21.txt,140,138,293.563
result_test22.txt,160,159,202.524
result_test23.txt,180,177,474.784
result_test24.txt,200,169,444.225
