File,Number of tasks,Solver run time
result_test1.txt,6,0.141
result_test2.txt,10,0.167
result_test3.txt,10,0.107
result_test4.txt,13,0.21
result_test5.txt,14,0.114
result_test6.txt,15,0.457
result_test7.txt,13,0.237
result_test8.txt,16,0.358
result_test9.txt,18,0.85
result_test10.txt,19,0.855
result_test11.txt,19,0.744
result_test12.txt,21,0.684
result_test13.txt,20,0.446
result_test14.txt,20,0.348
result_test15.txt,24,1.261
result_test16.txt,24,1.009
result_test17.txt,26,1.433
result_test18.txt,26,2.438
result_test19.txt,28,2.294
result_test20.txt,27,0.897
result_test21.txt,30,1.325
result_test22.txt,25,1.199
result_test23.txt,28,1.7
result_test24.txt,32,2.938
result_test25.txt,34,1.324
result_test26.txt,33,5.149
result_test27.txt,36,1.388
result_test28.txt,36,1.384
result_test29.txt,38,4.329
result_test30.txt,38,8.99
result_test31.txt,40,5.976
result_test32.txt,39,10.903
result_test33.txt,42,0.825
result_test34.txt,41,2.306
result_test35.txt,42,3.865
result_test36.txt,45,2.857
result_test37.txt,46,16.827
result_test38.txt,46,2.141
result_test39.txt,46,9.197
result_test40.txt,49,4.829
result_test41.txt,48,7.063
result_test42.txt,59,106.899
result_test43.txt,69,21.871
result_test44.txt,80,103.584
result_test45.txt,89,135.614
result_test46.txt,100,76.17
result_test47.txt,97,22.39
result_test48.txt,120,335.096
result_test49.txt,130,156.008
result_test50.txt,140,284.866
result_test51.txt,148,238.024
result_test52.txt,155,89.402
result_test53.txt,170,191.838
result_test54.txt,180,75.064
result_test55.txt,189,445.189
result_test56.txt,189,391.412
